city,country,latitude,longitude,temp,temp_min,temp_max,humidity,time_zone,weather,cloud_coverage,wind_speed
Cayenne,GF,4.93,-52.33,75.2,75.2,75.2,94,-10800,moderate rain,0,3.36
Matamoros,MX,25.53,-103.25,60.8,60.8,60.8,25,-21600,clear sky,5,3.36
Champerico,GT,14.3,-91.92,67.01,66.0,68.0,93,-21600,clear sky,0,9.93
Dalbandin,PK,28.89,64.41,40.53,40.53,40.53,50,18000,clear sky,0,3.78
Riyadh,SA,24.69,46.72,59.0,59.0,59.0,41,10800,clear sky,0,6.93
Sibu,MY,2.3,111.82,78.31,78.01,78.8,88,28800,scattered clouds,40,3.36
Khāsh,IR,28.22,61.22,38.59,38.59,38.59,59,12600,clear sky,0,1.16
Omsukchan,RU,62.53,155.8,-30.6,-30.6,-30.6,79,39600,overcast clouds,98,4.83
Kavaratti,IN,10.57,72.64,81.52,81.52,81.52,72,19800,moderate rain,72,6.82
Neiafu,TO,-18.65,-173.98,78.8,78.8,78.8,83,46800,light rain,90,4.7
São Sebastião,BR,-23.76,-45.41,75.06,75.06,75.06,85,-10800,broken clouds,75,2.46
São Francisco,BR,-15.95,-44.86,70.02,70.02,70.02,87,-10800,overcast clouds,99,3.94
Daşoguz,TM,41.84,59.97,15.8,15.8,15.8,85,18000,mist,0,11.41
Garoowe,SO,8.41,48.48,65.43,65.43,65.43,77,10800,broken clouds,61,3.76
San Cristobal,VE,7.77,-72.22,64.8,64.8,64.8,89,-14400,overcast clouds,100,1.34
Morondava,MG,-20.28,44.28,81.73,81.73,81.73,68,10800,clear sky,5,4.29
Ambilobe,MG,-13.2,49.05,73.36,73.36,73.36,91,10800,clear sky,0,2.15
Cayhagan,PH,9.67,122.43,84.31,84.31,84.31,68,28800,broken clouds,52,13.35
Smithers,CA,54.78,-127.17,32.0,32.0,32.0,95,-28800,light snow,90,2.24
Abnūb,EG,27.27,31.15,50.0,50.0,50.0,71,7200,clear sky,0,6.93
Taguatinga,BR,-12.39,-46.57,81.46,81.46,81.46,54,-10800,overcast clouds,99,4.43
Beringovskiy,RU,63.05,179.32,23.56,23.56,23.56,95,43200,overcast clouds,100,20.02
Atibaia,BR,-23.13,-46.59,72.75,71.6,73.4,88,-10800,moderate rain,40,6.93
Toronto,CA,43.7,-79.42,21.78,19.0,24.8,67,-18000,light snow,100,17.31
Vostok,RU,46.49,135.88,-7.44,-7.44,-7.44,88,36000,overcast clouds,100,5.14
Dembī Dolo,ET,8.53,34.8,59.88,59.88,59.88,47,10800,clear sky,7,4.97
Manokwari,ID,-0.87,134.08,85.32,85.32,85.32,69,32400,overcast clouds,96,3.42
Serra,BR,-20.13,-40.31,76.5,75.99,77.0,83,-10800,clear sky,0,8.05
